CODASIG,CODPER,CODDETPROG,FECREG,ESTREG
"4","4","1","21/11/2018 00:00:00","S"
"6","14","1","22/11/0018 00:00:00","E"
"7","15","1","22/11/0018 00:00:00","S"
"9","18","1","26/11/0018 00:00:00","S"
"10","19","1","26/11/0018 00:00:00","S"
"11","22","1","28/11/0018 00:00:00","S"
"12","23","1","28/11/0018 00:00:00","S"
"13","24","1","28/11/0018 00:00:00","S"
"14","25","1","28/11/0018 00:00:00","S"
"15","36","1","13/12/0018 00:00:00","E"
"16","37","1","13/12/0018 00:00:00","S"
"17","38","1","13/12/0018 00:00:00","E"
"18","39","1","13/12/0018 00:00:00","E"
"19","40","1","13/12/0018 00:00:00","E"
"21","42","12","19/01/0019 00:00:00","I"
"22","43","12","19/01/0019 00:00:00","E"
"23","44","12","19/01/0019 00:00:00","S"
"24","45","12","19/01/0019 00:00:00","E"
"25","46","12","19/01/0019 00:00:00","S"
"26","47","12","21/01/0019 00:00:00","E"
