CODHIJ,CODPERDET,SEXHIJ,FECNACHI
"1","1","M",null
"2","1","M",null
"3","3","F","04/07/1997 00:00:00"
"4","3","F","16/03/2000 00:00:00"
"5","9","F","17/05/2010 00:00:00"
"6","9","M","13/09/2011 00:00:00"
"7","10","F","07/05/2013 00:00:00"
"8","10","M","27/11/2014 00:00:00"
"9","12","M",null
"10","12","F",null
"11","14","F",null
"12","14","F",null
"14","15","F",null
"15","17","F","02/09/1989 00:00:00"
"16","17","M","12/11/1996 00:00:00"
"17","18","F","24/03/1994 00:00:00"
"18","18","M","21/03/1999 00:00:00"
"19","20","M",null
"20","20","M",null
"21","20","F",null
"22","20","F",null
"23","23",null,null
"24","23",null,null
"25","18","M",null
"35","15","M",null
