CODUBI,DEPUBI,PROVUBI,DISTUBI
"10101","AMAZONAS","CHACHAPOYAS","CHACHAPOYAS"
"10102","AMAZONAS","CHACHAPOYAS","ASUNCION"
"10103","AMAZONAS","CHACHAPOYAS","BALSAS"
"10104","AMAZONAS","CHACHAPOYAS","CHETO"
"10105","AMAZONAS","CHACHAPOYAS","CHILIQUIN"
"10106","AMAZONAS","CHACHAPOYAS","CHUQUIBAMBA"
"10107","AMAZONAS","CHACHAPOYAS","GRANADA"
"10108","AMAZONAS","CHACHAPOYAS","HUANCAS"
"10109","AMAZONAS","CHACHAPOYAS","LA JALCA"
"10110","AMAZONAS","CHACHAPOYAS","LEIMEBAMBA"
"10111","AMAZONAS","CHACHAPOYAS","LEVANTO"
"10112","AMAZONAS","CHACHAPOYAS","MAGDALENA"
"10113","AMAZONAS","CHACHAPOYAS","MARISCAL CASTILLA"
"10114","AMAZONAS","CHACHAPOYAS","MOLINOPAMPA"
"10115","AMAZONAS","CHACHAPOYAS","MONTEVIDEO"
"10116","AMAZONAS","CHACHAPOYAS","OLLEROS"
"10117","AMAZONAS","CHACHAPOYAS","QUINJALCA"
"10118","AMAZONAS","CHACHAPOYAS","SAN FRANCISCO DE DAGUAS"
"10119","AMAZONAS","CHACHAPOYAS","SAN ISIDRO DE MAINO"
"10120","AMAZONAS","CHACHAPOYAS","SOLOCO"
"10121","AMAZONAS","CHACHAPOYAS","SONCHE"
"10201","AMAZONAS","BAGUA","LA PECA"
"10202","AMAZONAS","BAGUA","ARAMANGO"
"10203","AMAZONAS","BAGUA","COPALLIN"
"10204","AMAZONAS","BAGUA","EL PARCO"
"10205","AMAZONAS","BAGUA","IMAZA"
"10206","AMAZONAS","BAGUA","BAGUA"
"10301","AMAZONAS","BONGARA","JUMBILLA"
"10302","AMAZONAS","BONGARA","CHISQUILLA"
"10303","AMAZONAS","BONGARA","CHURUJA"
"10304","AMAZONAS","BONGARA","COROSHA"
"10305","AMAZONAS","BONGARA","CUISPES"
"10306","AMAZONAS","BONGARA","FLORIDA"
"10307","AMAZONAS","BONGARA","JAZAN"
"10308","AMAZONAS","BONGARA","RECTA"
"10309","AMAZONAS","BONGARA","SAN CARLOS"
"10310","AMAZONAS","BONGARA","SHIPASBAMBA"
"10311","AMAZONAS","BONGARA","VALERA"
"10312","AMAZONAS","BONGARA","YAMBRASBAMBA"
"10401","AMAZONAS","CONDORCANQUI","NIEVA"
